,nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
60,ALBERTO BARROS CAVALCANTE NETO,M,88,2,2,66,1,3,05/05/1982,"268.303,10","10.761,97","32.144,12","50.784,42","59.974,73","36.167,69","18.635,29","18.846,91","9.376,93","3.645,06","27.765,98","200,00",,"1.108.460,75","111.524,06","108.183,95","109.814,87","109.505,49","111.520,15","111.370,71","111.635,38","111.635,38","111.635,38","111.635,38",,,"33.763,00"
61,JOSE AUGUSTO ROSA,M,85,3,4,29,2,39,04/10/1966,"303.764,68","32.590,99","32.708,93","42.982,94","38.181,18","46.093,18","19.473,47","21.678,43","15.614,72","14.321,17","37.541,05","2.578,62",,"1.109.989,13","111.659,59","110.586,80","107.796,83","111.659,59","111.659,59","111.659,59","110.759,70","110.888,26","111.659,59","111.659,59",,,"33.763,00"
62,WAGNER SOUSA GOMES,M,31,0,2,0,0,1,21/01/1979,"226.591,14","55.521,07","32.236,66","11.029,18",,,,"12.950,64","18.376,97","6.416,85","14.045,83","76.013,94",,"1.112.741,02","110.473,50","110.107,68","111.586,87","111.652,64","111.665,79","110.952,40","111.665,74","111.665,74","111.665,74","111.304,92",,,"33.763,00"
63,CARLOS ALBERTO CHIODINI,M,85,4,3,25,6,8,08/03/1982,"264.102,62","21.142,87","33.080,35","34.458,92","35.659,60","28.696,29","31.410,11","38.827,88","16.920,33","11.149,03","11.990,98","766,26",,"1.088.228,66","110.052,14","109.597,20","107.219,44","108.994,73","109.943,02","110.230,95","107.098,15","107.098,15","107.098,15","110.896,73",,,"33.763,00"
64,ANTONIO CARLOS GOMES DA SILVA,M,92,0,0,21,2,4,13/06/1972,"273.109,72","18.748,87","25.578,63","34.691,71","31.224,22","55.517,35","34.811,05","23.121,54","21.226,21","9.739,25","16.929,54","1.521,35",,"1.012.698,46","92.948,89","99.271,45","96.032,28","98.637,08","102.490,61","102.621,52","102.621,52","104.715,99","106.679,56","106.679,56",,,"33.763,00"
65,Carlos Roberto Coelho de Mattos Júnior,M,84,3,5,10,0,0,08/02/1982,"200.049,25","17.012,14","21.954,01","27.544,00","16.413,28","29.052,38","31.940,35","20.649,20","10.845,10","8.771,04","14.632,54","1.235,21",,"1.079.427,92","107.840,49","111.522,26","105.827,62","98.809,78","110.447,03","111.102,14","104.135,41","108.845,03","110.375,04","110.523,12",,,"33.763,00"
66,GUILHERME MURARO DERRITE,M,90,0,2,21,0,0,10/10/1984,"318.929,77","33.369,05","48.294,13","42.375,69","37.535,61","31.336,58","34.084,37","31.084,94","27.610,70","13.353,72","19.884,98","0,00",,"1.087.142,69","111.429,18","111.429,18","111.078,93","111.198,68","111.198,68","111.198,68","104.902,34","104.902,34","104.902,34","104.902,34",,,"33.763,00"
67,CARLOS GOMES BEZERRA,M,29,0,0,0,0,0,04/11/1941,"192.492,79","17.099,28","55.229,53","0,00",,,,"2.047,03","848,36","647,00","59.074,08","57.547,51",,"1.115.384,57","111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","110.884,40","111.611,13","111.611,13","111.611,13",,,"33.763,00"
68,CARLOS HENRIQUE AMORIM,M,79,1,12,33,1,24,21/04/1961,"379.726,43","38.480,40","54.727,25","51.686,19","49.827,56","38.169,71","34.594,12","36.583,75","31.857,00","13.993,12","27.863,38","1.943,95",,"1.014.767,71","107.089,41","100.838,78","96.663,69","98.112,79","100.925,82","94.627,79","96.910,28","103.302,09","107.870,51","108.426,55",,,"33.763,00"
69,FABIO ABREU COSTA,M,90,1,1,56,0,9,31/12/1972,"415.287,33","27.176,43","43.044,36","37.886,06","54.828,28","65.451,97","38.676,13","33.219,21","38.283,53","44.917,64","30.801,48","1.002,24",,"1.112.307,70","111.501,54","111.425,25","109.950,47","110.995,45","111.125,87","111.505,00","111.580,82","111.580,83","111.580,83","111.061,64",,,"33.763,00"
70,AMARO ROCHA NASCIMENTO NETO,M,92,0,0,20,0,7,04/12/1976,"274.104,12","42.292,73","23.497,16","34.426,77","47.806,82","44.977,07","20.179,17","24.764,49","7.547,57","18.792,57","8.484,32","1.335,45",,"1.112.084,94","111.222,90","111.222,90","111.222,90","111.222,90","111.222,90","110.933,36","111.259,27","111.259,27","111.259,27","111.259,27",,,"33.763,00"
71,ANDRÉ PEIXOTO FIGUEIREDO LIMA,M,87,5,0,72,9,23,10/11/1966,"392.555,80","34.462,62","48.224,65","72.127,49","49.023,71","44.041,52","37.230,57","31.041,15","43.503,48","11.633,85","21.266,76","0,00",,"1.100.603,80","111.397,30","109.731,85","111.580,84","111.580,84","106.864,96","109.042,51","109.730,58","109.931,92","110.707,37","110.035,63",,,"33.763,00"
72,ANDRE DOS SANTOS ABDON,M,90,0,2,5,0,40,10/11/1970,"401.346,39","39.635,39","56.554,49","50.324,98","62.832,08","41.453,80","28.539,51","28.094,20","30.183,38","21.202,11","38.003,15","4.523,30",,"1.110.523,74","111.623,17","111.623,17","110.842,44","110.847,15","110.559,33","111.023,24","110.484,74","111.194,25","111.641,56","110.684,69",,,"33.763,00"
